YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2011 01 03 09 50 334 12.9 16.1  2.67  5.88  5.09 999 9999.0   2.4   7.1 999.0 99.0 99.00
2011 01 03 10 50 317 13.4 18.3  2.81  6.25  5.28 999 9999.0   1.8   7.4 999.0 99.0 99.00
2011 01 03 11 50 318 14.9 18.8  3.24  6.25  5.46 999 9999.0   0.6   7.4 999.0 99.0 99.00
2011 01 03 12 50 318 13.3 16.4  2.93  6.67  5.37 999 9999.0   0.8   7.4 999.0 99.0 99.00
2011 01 03 13 50 314 12.3 15.6  2.62  6.25  5.30 999 9999.0   1.2   7.4 999.0 99.0 99.00
2011 01 03 14 50 315 11.6 14.7  2.86  6.67  5.53 999 9999.0   1.7   7.1 999.0 99.0 99.00
2011 01 03 15 50 307 12.0 15.4  2.81  6.67  5.33 999 9999.0   1.2   7.1 999.0 99.0 99.00
2011 01 03 16 50 308 13.0 15.6  2.57  7.14  5.26 999 9999.0   2.1   7.1 999.0 99.0 99.00
2011 01 03 17 50 298 12.3 14.9  2.53  7.14  5.32 999 9999.0   1.6   7.1 999.0 99.0 99.00
2011 01 03 18 50 298 12.7 16.6  2.43  6.25  5.04 999 9999.0   2.2   7.1 999.0 99.0 99.00
2011 01 03 19 50 308 11.8 14.3  2.67  6.67  5.26 999 9999.0   1.5   7.1 999.0 99.0 99.00
2011 01 03 20 50 300 12.3 16.0  2.63  6.67  5.20 999 9999.0   1.1   7.1 999.0 99.0 99.00
2011 01 03 21 50 306 12.4 15.2  2.58  6.67  5.32 999 9999.0   0.5   7.1 999.0 99.0 99.00
2011 01 03 22 50 311 12.5 15.0  2.60  6.67  5.20 999 9999.0   0.5   7.1 999.0 99.0 99.00
2011 01 03 23 50 311 11.3 14.1  2.45  5.88  5.12 999 9999.0   0.2   7.1 999.0 99.0 99.00
2011 01 04 00 50 299 10.0 12.1  2.32  6.67  4.99 999 9999.0   0.2   7.1 999.0 99.0 99.00
2011 01 04 01 50 303 10.7 13.0  2.03  6.25  4.93 999 9999.0   0.2   7.1 999.0 99.0 99.00
2011 01 04 02 50 300  9.8 11.9  2.02  5.88  4.73 999 9999.0   0.1   7.1 999.0 99.0 99.00
2011 01 04 03 50 304  9.7 12.2  1.94  5.88  4.69 999 9999.0   0.0   7.1 999.0 99.0 99.00
2011 01 04 04 50 296  8.9 11.5  1.87  5.56  4.70 999 9999.0  -0.2   7.1 999.0 99.0 99.00
2011 01 04 05 50 288  7.7 10.3  1.72  5.88  4.61 999 9999.0  -0.3   7.1 999.0 99.0 99.00
2011 01 04 06 50 305  9.1 11.7  1.52  5.56  4.51 999 9999.0  -0.3   7.1 999.0 99.0 99.00
2011 01 04 07 50 305  7.7 10.5  1.63  5.56  4.32 999 9999.0  -0.3   7.1 999.0 99.0 99.00
2011 01 04 08 50 283  6.6  9.4  1.38  5.56  4.24 999 9999.0  -0.5   7.0 999.0 99.0 99.00
2011 01 04 09 50 290  8.0 10.8  1.49  5.26  4.39 999 9999.0  -0.5   7.0 999.0 99.0 99.00
2011 01 04 10 50 279  8.3 10.5  1.37  5.26  4.29 999 9999.0  -0.5   7.0 999.0 99.0 99.00
2011 01 04 11 50 281  8.1 10.1  1.42  5.56  4.34 999 9999.0  -0.7   7.0 999.0 99.0 99.00
2011 01 04 12 50 275  7.7  9.5  1.40  5.56  4.34 999 9999.0  -0.1   7.0 999.0 99.0 99.00
2011 01 04 13 50 264  8.4 10.2  1.42  5.56  4.44 999 9999.0   1.1   7.0 999.0 99.0 99.00
2011 01 04 14 50 276  8.9 11.9  1.55  5.26  4.45 999 9999.0   1.8   7.0 999.0 99.0 99.00
2011 01 04 15 50 267 10.0 11.7  1.85  5.88  4.66 999 9999.0   2.1   7.0 999.0 99.0 99.00
2011 01 04 16 50 267  9.2 11.9  1.88  5.56  4.71 999 9999.0   1.6   7.0 999.0 99.0 99.00
2011 01 04 17 50 256  8.9 10.7  1.71  5.88  4.63 999 9999.0   1.9   7.0 999.0 99.0 99.00
2011 01 04 18 50 251  9.1 12.3  1.72  5.88  4.60 999 9999.0   1.3   7.0 999.0 99.0 99.00
2011 01 04 19 50 256  7.3 10.4  1.53  5.88  4.51 999 9999.0   1.9   7.0 999.0 99.0 99.00
2011 01 04 20 50 247  7.7 10.0  1.22  5.56  4.23 999 9999.0   2.2   7.0 999.0 99.0 99.00
2011 01 04 21 50 243  8.8 11.4  1.38  5.00  4.21 999 9999.0   2.3   7.0 999.0 99.0 99.00
2011 01 04 22 50 265  7.5 10.1  1.27  5.00  4.26 999 9999.0   2.2   7.0 999.0 99.0 99.00
2011 01 04 23 50 274  6.6  8.9  1.22  5.00  4.14 999 9999.0   2.3   7.0 999.0 99.0 99.00
2011 01 05 00 50 288  4.7  6.2  1.04  4.76  4.16 999 9999.0   2.2   7.0 999.0 99.0 99.00
2011 01 05 01 50 275  5.8  7.1  0.93  4.76  4.20 999 9999.0   2.7   6.7 999.0 99.0 99.00
2011 01 05 02 50 274  9.0 11.2  1.26  5.00  4.43 999 9999.0   3.2   6.7 999.0 99.0 99.00
2011 01 05 03 50 281  9.9 12.4  1.74  6.67  4.93 999 9999.0   2.6   6.7 999.0 99.0 99.00
2011 01 05 04 50 275  9.3 11.6  1.64  5.88  4.64 999 9999.0   2.3   6.7 999.0 99.0 99.00
2011 01 05 05 50 291  8.4 10.4  1.57  5.88  4.65 999 9999.0   1.9   6.7 999.0 99.0 99.00
2011 01 05 06 50 304  6.6  8.1  1.50  5.88  4.47 999 9999.0   1.2   6.7 999.0 99.0 99.00
2011 01 05 07 50 307  5.6  7.7  1.30  5.88  4.48 999 9999.0   0.8   6.7 999.0 99.0 99.00
2011 01 05 08 50 307  5.2  6.7  1.33  5.56  4.61 999 9999.0   0.9   6.7 999.0 99.0 99.00
2011 01 05 09 50 300  5.2  6.5  1.20  5.56  4.54 999 9999.0   1.1   6.7 999.0 99.0 99.00
2011 01 05 10 50 310  5.3  7.0  1.12  5.88  4.53 999 9999.0   0.9   6.7 999.0 99.0 99.00
