"","FIPS","County","Pop_Total","Pop_Urban","Pop_Rural","Pop_Rural_Farm","Pop_Rural_Nonfarm","Type","Pop_Male","Male_00_09","Male_10_19","Male_20_29","Male_30_39","Male_40_49","Male_50_59","Male_60_69","Male_70_79","Male_80_up","Pop_Female","Female_00_09","Female_10_19","Female_20_29","Female_30_39","Female_40_49","Female_50_59","Female_60_69","Female_70_79","Female_80_up","Male_Degree","Female_Degree","Pop_degree","Median_household_income","Total_median_earnings","Male_median_earnings","Female_median_earnings","Total_aggregate_earnings","Male_aggregate_earnings","Female_aggregate_earnings"
"257",230050038007,"Cumberland",734,734,NA,NA,NA,"Urban",339,51,55,28,57,40,28,42,9,29,395,34,39,25,70,73,11,58,59,26,0.377880184,0.276397516,0.317254174,25461,25952,31771,20156,13774300,9805500,3968800
"258",230050038008,"Cumberland",992,992,NA,NA,NA,"Urban",550,127,75,18,109,91,68,53,0,9,442,81,53,8,116,84,67,33,0,0,0.436363636,0.463333333,0.449206349,80176,30882,34063,27045,20915900,12814000,8101900
"259",230050039001,"Cumberland",3512,3462,50,NA,50,"Urban",1623,186,208,174,367,183,238,129,90,48,1889,252,172,201,335,291,244,165,171,58,0.300505051,0.274134119,0.286444008,43483,24250,30191,21198,64628000,41398900,23229000
"260",230050039002,"Cumberland",2326,330,1996,68,1928,"Rural",1145,181,131,119,218,175,143,100,78,0,1181,163,123,139,227,179,138,106,80,26,0.289340102,0.348432056,0.320194057,52125,27487,31699,25625,45317200,30094000,15223100
"261",230050039003,"Cumberland",1235,NA,1235,NA,1235,"Rural",635,127,131,34,90,124,77,38,14,0,600,53,125,26,104,141,83,21,27,20,0.344262295,0.339853301,0.341935484,62500,27422,31146,22450,24313700,13578400,10735300
"262",230050039004,"Cumberland",2310,2083,227,NA,227,"Urban",1177,181,158,76,162,220,131,75,82,92,1133,115,130,62,182,213,138,78,99,116,0.349693252,0.369337979,0.359785203,60898,30837,34565,24427,42730000,24822200,17907800
"263",230050040011,"Cumberland",1271,847,424,12,412,"Urban",669,123,123,47,101,112,79,46,19,19,602,105,78,34,93,146,73,40,13,20,0.288220551,0.324582339,0.306845966,56750,26905,38952,20938,25814600,16637000,9177600
"264",230050040013,"Cumberland",1259,NA,1259,NA,1259,"Rural",574,89,88,40,99,140,53,47,12,6,685,75,116,67,110,166,48,47,37,19,0.245283019,0.204395604,0.222760291,39417,23772,31500,17386,22667400,14987500,7679900
"265",230050040021,"Cumberland",1749,1749,NA,NA,NA,"Urban",758,143,98,42,83,117,89,55,86,45,991,113,113,89,114,110,100,75,117,160,0.476284585,0.411927878,0.438467808,35568,27688,34871,22059,24591700,15254600,9337100
"266",230050040022,"Cumberland",1057,1057,NA,NA,NA,"Urban",468,8,210,232,6,0,0,12,0,0,589,5,344,234,0,0,6,0,0,0,0.5,0,0.307692308,17188,4761,5407,4344,4914200,2427000,2487200
"267",230050040023,"Cumberland",850,390,460,13,447,"Rural",464,25,47,132,34,109,39,21,57,0,386,14,45,48,71,75,57,24,42,10,0.271812081,0.267123288,0.269491525,53558,26172,29485,21012,16363600,10789000,5574600
