STATION,STATION_NAME,DATE,CLDD,HTDD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00179826,WATERVILLE WWTP ME US,19420701,882,43,801,-9999,322,72,277,145,211
GHCND:USC00179826,WATERVILLE WWTP ME US,19420801,708,180,289,-9999,317,39,269,131,200
GHCND:USC00179826,WATERVILLE WWTP ME US,19420901,355,628,915,-9999,328,-11,233,108,173
GHCND:USC00179826,WATERVILLE WWTP ME US,19421001,0,2377,613,-9999,239,-44,179,34,106
GHCND:USC00179826,WATERVILLE WWTP ME US,19421101,0,4585,747,152,178,-111,86,-25,30
GHCND:USC00179826,WATERVILLE WWTP ME US,19421201,0,7438,1019,119,111,-261,-8,-105,-57
GHCND:USC00179826,WATERVILLE WWTP ME US,19430101,0,6375,341,482,33,-233,-26,-142,-83
GHCND:USC00179826,WATERVILLE WWTP ME US,19430201,0,4632,557,169,106,-322,20,-126,-49
GHCND:USC00179826,WATERVILLE WWTP ME US,19430301,0,6029,579,419,167,-239,52,-75,-11
GHCND:USC00179826,WATERVILLE WWTP ME US,19430401,0,4246,549,189,217,-100,102,-20,41
GHCND:USC00179826,WATERVILLE WWTP ME US,19430501,66,1708,1267,-9999,289,-22,201,59,130
GHCND:USC00179826,WATERVILLE WWTP ME US,19430601,433,341,677,-9999,317,28,257,115,186
GHCND:USC00179826,WATERVILLE WWTP ME US,19430701,1028,78,1226,-9999,333,72,282,147,215
GHCND:USC00179826,WATERVILLE WWTP ME US,19430801,499,217,955,-9999,350,61,253,131,192
GHCND:USC00179826,WATERVILLE WWTP ME US,19430901,16,1166,655,-9999,250,0,209,81,145
GHCND:USC00179826,WATERVILLE WWTP ME US,19431001,0,2562,1608,0,239,-39,158,43,100
GHCND:USC00179826,WATERVILLE WWTP ME US,19431101,0,4850,1812,505,178,-133,72,-29,21
GHCND:USC00179826,WATERVILLE WWTP ME US,19431201,0,8788,269,309,78,-300,-36,-165,-100
GHCND:USC00179826,WATERVILLE WWTP ME US,19440101,0,8388,213,445,100,-278,-24,-151,-88
GHCND:USC00179826,WATERVILLE WWTP ME US,19440201,0,7571,743,571,67,-250,3,-159,-78
GHCND:USC00179826,WATERVILLE WWTP ME US,19440301,0,6441,822,204,139,-189,33,-82,-25
GHCND:USC00179826,WATERVILLE WWTP ME US,19440401,0,4179,671,63,211,-72,102,-15,44
GHCND:USC00179826,WATERVILLE WWTP ME US,19440501,275,1195,173,-9999,328,-11,231,76,153
GHCND:USC00179826,WATERVILLE WWTP ME US,19440601,563,495,771,-9999,356,-11,254,114,185
GHCND:USC00179826,WATERVILLE WWTP ME US,19440701,860,24,1359,-9999,350,72,276,144,210
GHCND:USC00179826,WATERVILLE WWTP ME US,19440801,1325,122,488,-9999,367,67,294,149,222
GHCND:USC00179826,WATERVILLE WWTP ME US,19440901,100,1134,1436,-9999,278,6,206,91,149
GHCND:USC00179826,WATERVILLE WWTP ME US,19441001,14,2932,1063,0,250,-56,147,31,89
GHCND:USC00179826,WATERVILLE WWTP ME US,19441101,0,4063,901,76,194,-67,96,-12,43
GHCND:USC00179826,WATERVILLE WWTP ME US,19441201,0,7294,568,329,72,-206,3,-107,-52
GHCND:USC00179826,WATERVILLE WWTP ME US,19450101,0,8599,896,1066,128,-306,-27,-161,-94
GHCND:USC00179826,WATERVILLE WWTP ME US,19450201,0,6993,593,420,67,-233,11,-144,-67
GHCND:USC00179826,WATERVILLE WWTP ME US,19450301,0,4735,442,88,267,-133,96,-35,30
GHCND:USC00179826,WATERVILLE WWTP ME US,19450401,0,2873,1451,0,311,-44,158,16,87
GHCND:USC00179826,WATERVILLE WWTP ME US,19450501,0,2228,1616,203,233,0,171,51,111
GHCND:USC00179826,WATERVILLE WWTP ME US,19450601,410,770,807,0,333,0,233,109,171
GHCND:USC00179826,WATERVILLE WWTP ME US,19450701,933,61,706,0,333,83,282,141,211
GHCND:USC00179826,WATERVILLE WWTP ME US,19450801,787,140,574,0,328,61,276,132,204
GHCND:USC00179826,WATERVILLE WWTP ME US,19450901,267,815,789,0,344,0,226,103,165
GHCND:USC00179826,WATERVILLE WWTP ME US,19451001,0,3158,881,0,222,-61,145,17,81
GHCND:USC00179826,WATERVILLE WWTP ME US,19451101,0,4726,1038,318,156,-100,72,-21,25
GHCND:USC00179826,WATERVILLE WWTP ME US,19451201,0,7747,831,204,78,-228,-7,-126,-67
GHCND:USC00179826,WATERVILLE WWTP ME US,19460101,0,7647,714,585,111,-267,-8,-137,-72
GHCND:USC00179826,WATERVILLE WWTP ME US,19460201,0,7299,635,610,94,-239,-7,-148,-78
GHCND:USC00179826,WATERVILLE WWTP ME US,19460301,0,4289,135,0,194,-161,115,-34,40
GHCND:USC00179826,WATERVILLE WWTP ME US,19460401,0,3557,614,89,233,-100,122,7,64
GHCND:USC00179826,WATERVILLE WWTP ME US,19460501,59,1721,778,0,289,-44,197,61,129
GHCND:USC00179826,WATERVILLE WWTP ME US,19460601,529,561,319,0,367,39,258,105,182
GHCND:USC00179826,WATERVILLE WWTP ME US,19460701,635,167,937,0,356,50,271,125,198
GHCND:USC00179826,WATERVILLE WWTP ME US,19460801,411,240,1278,0,322,61,250,127,189
GHCND:USC00179826,WATERVILLE WWTP ME US,19460901,109,772,574,0,306,-6,238,84,161
GHCND:USC00179826,WATERVILLE WWTP ME US,19461001,0,2348,1595,0,283,-67,185,30,107
GHCND:USC00179826,WATERVILLE WWTP ME US,19461101,0,2311,711,13,211,-83,103,-5,47
GHCND:USC00179826,WATERVILLE WWTP ME US,19461201,0,6469,923,782,117,-272,19,-70,-26
GHCND:USC00179826,WATERVILLE WWTP ME US,19470101,0,8415,688,317,78,-289,-44,-133,-88
GHCND:USC00179826,WATERVILLE WWTP ME US,19470201,0,6336,747,444,89,-167,13,-100,-43
GHCND:USC00179826,WATERVILLE WWTP ME US,19470301,0,5263,617,114,156,-161,65,-39,13
GHCND:USC00179826,WATERVILLE WWTP ME US,19470401,-9999,-9999,274,127,233,-9999,111,-9999,-9999
GHCND:USC00179826,WATERVILLE WWTP ME US,19470501,9,257,1307,0,283,33,205,90,155
GHCND:USC00179826,WATERVILLE WWTP ME US,19470601,253,696,963,0,333,44,237,99,168
GHCND:USC00179826,WATERVILLE WWTP ME US,19470701,1321,5,1706,0,322,117,282,169,225
GHCND:USC00179826,WATERVILLE WWTP ME US,19470801,1050,103,409,0,361,72,286,141,214
GHCND:USC00179826,WATERVILLE WWTP ME US,19470901,350,1165,633,0,317,-22,220,91,156
GHCND:USC00179826,WATERVILLE WWTP ME US,19471001,60,1846,125,0,294,-33,202,49,125
GHCND:USC00179826,WATERVILLE WWTP ME US,19471101,0,4888,1080,51,167,-111,69,-28,20
GHCND:USC00179826,WATERVILLE WWTP ME US,19471201,0,7730,374,424,89,-194,-13,-120,-66
GHCND:USC00179826,WATERVILLE WWTP ME US,19480101,0,8825,516,819,39,-267,-42,-161,-102
GHCND:USC00179826,WATERVILLE WWTP ME US,19480201,0,8197,261,217,94,-311,-18,-181,-100
GHCND:USC00179826,WATERVILLE WWTP ME US,19480301,0,6096,655,363,161,-250,48,-90,-20
GHCND:USC00179826,WATERVILLE WWTP ME US,19480401,0,3743,696,127,211,-67,116,1,58
GHCND:USC00179826,WATERVILLE WWTP ME US,19480501,0,2147,1910,0,256,-11,160,55,106
GHCND:USC00179826,WATERVILLE WWTP ME US,19480601,86,921,764,0,300,44,220,91,155
GHCND:USC00179826,WATERVILLE WWTP ME US,19480701,883,90,671,0,328,72,280,137,209
GHCND:USC00179826,WATERVILLE WWTP ME US,19480801,917,57,242,0,361,89,283,139,211
GHCND:USC00179826,WATERVILLE WWTP ME US,19480901,223,974,206,0,322,-6,234,82,158
GHCND:USC00179826,WATERVILLE WWTP ME US,19481001,15,2954,971,0,289,-56,156,20,88
GHCND:USC00179826,WATERVILLE WWTP ME US,19481101,0,3772,1646,0,183,-61,101,14,57
GHCND:USC00179826,WATERVILLE WWTP ME US,19481201,0,6602,780,58,100,-206,19,-79,-30
GHCND:USC00179826,WATERVILLE WWTP ME US,19490101,0,7091,624,376,117,-172,-1,-90,-46
GHCND:USC00179826,WATERVILLE WWTP ME US,19490201,0,6589,660,468,111,-261,13,-118,-52
GHCND:USC00179826,WATERVILLE WWTP ME US,19490301,0,5725,450,0,156,-139,50,-53,-2
GHCND:USC00179826,WATERVILLE WWTP ME US,19490401,0,3027,663,0,239,-17,137,27,82
GHCND:USC00179826,WATERVILLE WWTP ME US,19490501,46,1677,595,0,289,6,200,60,130
GHCND:USC00179826,WATERVILLE WWTP ME US,19490601,667,330,1003,0,361,28,266,122,194
GHCND:USC00179826,WATERVILLE WWTP ME US,19490701,1291,22,487,0,361,72,291,156,224
GHCND:USC00179826,WATERVILLE WWTP ME US,19490801,1009,129,363,0,344,61,277,146,211
GHCND:USC00179826,WATERVILLE WWTP ME US,19490901,54,1103,951,0,283,28,203,93,148
GHCND:USC00179826,WATERVILLE WWTP ME US,19491001,26,2517,648,0,261,-44,169,36,103
GHCND:USC00179826,WATERVILLE WWTP ME US,19491101,0,5026,1319,18,156,-122,60,-29,15
GHCND:USC00179826,WATERVILLE WWTP ME US,19491201,0,6332,390,120,128,-167,33,-75,-21
GHCND:USC00179826,WATERVILLE WWTP ME US,19500101,0,7263,942,477,150,-233,5,-108,-51
GHCND:USC00179826,WATERVILLE WWTP ME US,19500201,0,7338,567,627,56,-261,-33,-145,-89
GHCND:USC00179826,WATERVILLE WWTP ME US,19500301,0,6499,782,254,161,-222,18,-85,-34
GHCND:USC00179826,WATERVILLE WWTP ME US,19500401,0,3965,782,18,194,-56,102,-1,51
GHCND:USC00179826,WATERVILLE WWTP ME US,19500501,20,1616,212,0,306,-33,205,58,132
GHCND:USC00179826,WATERVILLE WWTP ME US,19500601,341,487,623,0,333,33,242,114,178
